FeatureExtractor,Model,Trees,Accuracy,Precision,Recall,F1 Score
DenseNet201,ADB,50,0.6684,0.6613,0.6684,0.6595
DenseNet201,ADB,100,0.7094,0.7056,0.7094,0.7044
DenseNet201,ADB,150,0.7128,0.7094,0.7128,0.7075
DenseNet201,ADB,200,0.7145,0.7118,0.7145,0.7101
DenseNet201,GB,50,0.7726,0.7753,0.7726,0.7646
DenseNet201,GB,100,0.7949,0.7937,0.7949,0.7889
DenseNet201,GB,150,0.8188,0.8176,0.8188,0.815
DenseNet201,GB,200,0.8188,0.8175,0.8188,0.8147
DenseNet201,XGB,50,0.788,0.792,0.788,0.7822
DenseNet201,XGB,100,0.8034,0.8034,0.8034,0.7987
DenseNet201,XGB,150,0.8034,0.8036,0.8034,0.7987
DenseNet201,XGB,200,0.8034,0.8033,0.8034,0.7984
DenseNet201,LGBM,50,0.7726,0.7771,0.7726,0.7659
DenseNet201,LGBM,100,0.7863,0.7893,0.7863,0.7808
DenseNet201,LGBM,150,0.7983,0.8005,0.7983,0.7924
DenseNet201,LGBM,200,0.8017,0.8031,0.8017,0.7969
InceptionV3,ADB,50,0.6444,0.6267,0.6444,0.6232
InceptionV3,ADB,100,0.6598,0.6497,0.6598,0.6442
InceptionV3,ADB,150,0.694,0.6887,0.694,0.6784
InceptionV3,ADB,200,0.6838,0.6815,0.6838,0.6659
InceptionV3,GB,50,0.7402,0.7402,0.7402,0.73
InceptionV3,GB,100,0.759,0.7565,0.759,0.752
InceptionV3,GB,150,0.759,0.7539,0.759,0.7522
InceptionV3,GB,200,0.7624,0.7577,0.7624,0.755
InceptionV3,XGB,50,0.7744,0.772,0.7744,0.7659
InceptionV3,XGB,100,0.7778,0.7757,0.7778,0.7699
InceptionV3,XGB,150,0.7795,0.7773,0.7795,0.771
InceptionV3,XGB,200,0.7795,0.7776,0.7795,0.7718
InceptionV3,LGBM,50,0.7795,0.7841,0.7795,0.7704
InceptionV3,LGBM,100,0.7761,0.7808,0.7761,0.7684
InceptionV3,LGBM,150,0.7795,0.7827,0.7795,0.7726
InceptionV3,LGBM,200,0.7726,0.7721,0.7726,0.7654
MobileNetV2,ADB,50,0.6838,0.6877,0.6838,0.6728
MobileNetV2,ADB,100,0.6803,0.6764,0.6803,0.6738
MobileNetV2,ADB,150,0.6906,0.6863,0.6906,0.6838
MobileNetV2,ADB,200,0.7128,0.7111,0.7128,0.7086
MobileNetV2,GB,50,0.735,0.7347,0.735,0.7277
MobileNetV2,GB,100,0.7538,0.7526,0.7538,0.748
MobileNetV2,GB,150,0.7556,0.754,0.7556,0.7501
MobileNetV2,GB,200,0.7436,0.7381,0.7436,0.7366
MobileNetV2,XGB,50,0.7863,0.7881,0.7863,0.7811
MobileNetV2,XGB,100,0.7897,0.7901,0.7897,0.785
MobileNetV2,XGB,150,0.7915,0.7921,0.7915,0.7866
MobileNetV2,XGB,200,0.7932,0.7942,0.7932,0.7882
MobileNetV2,LGBM,50,0.7709,0.7706,0.7709,0.7651
MobileNetV2,LGBM,100,0.7778,0.7788,0.7778,0.7723
MobileNetV2,LGBM,150,0.788,0.7899,0.788,0.7832
MobileNetV2,LGBM,200,0.7897,0.7905,0.7897,0.7843
