Feature Extractor,ML Classifier,3 Est.,5 Est.,7 Est.,9 Est.
DenseNet201,SVC,73.960114,74.358974,74.358974,74.624881
DenseNet201,KNN,64.159544,63.65812,63.418803,63.779677
DenseNet201,DecisionTree,56.068376,58.017094,59.120879,58.613485
DenseNet201,MLP,76.695157,76.581197,76.434676,76.48623
InceptionV3,SVC,75.384615,75.623932,75.482295,75.403609
InceptionV3,KNN,63.361823,62.905983,63.003663,63.304843
InceptionV3,DecisionTree,54.245014,54.905983,54.114774,54.339981
InceptionV3,MLP,72.763533,73.675214,73.137973,72.668566
MobileNetV2,SVC,77.321937,76.444444,76.678877,76.31529
MobileNetV2,KNN,68.433048,68.0,67.399267,67.293447
MobileNetV2,DecisionTree,53.618234,54.42735,54.432234,54.681861
MobileNetV2,MLP,77.435897,77.059829,77.118437,76.847104
